,Age,City,Current Status,Do you own multiple profiles on Instagram?,Gender,Highest Education,Location (City Airport Code),Phone OS,State,Zone,Latitude,Longitude,Total Facebook Usage,Total Instagram Usage,Total Social Media Usage,Total Week Usage,Total Weekend Usage,Total WhatsApp Usage,Followers,No of posts on Insta,Facebook Time Spent(Last Week),Instagram Time Spent(Last Week),WhatsApp Time Spent(Last Week),WhatsApp Time Spent(Last Weekend),Instagram Time Spent(Last Weekend),Facebook Time Spent(Last Weekend)
120,29,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,360,840,0,0,840,660,177,29,120,300,600,60,540,240
121,25,DehraDun,Working professional,No,Male,Post graduation,DED,Android,Uttarakhand,Northern,30.324427,78.033922,0,0,0,0,0,0,340,40,840,0,0,600,400,240
122,25,Bengaluru,Working professional,No,Female,Graduation,BLR,iOs,Karnataka,Southern,12.977063,77.587106,840,840,0,0,0,0,144,16,600,600,0,600,240,240
124,28,Hyderabad,Working professional,Yes,Male,Post graduation,HYD,iOs,Telangana,Southern,17.384052,78.456355,0,480,0,0,600,900,929,233,780,360,660,240,120,240
125,20,Ahmedabad,Student,No,Male,Graduation,AMD,iOs,Gujarat,Western,23.025793,72.587265,240,170,510,150,360,100,400,60,0,50,100,0,120,240
126,28,Bhubaneshwar,Sabbatical,No,Female,Post graduation,BBI,iOs,Odisha,Eastern,20.272411,85.833853,840,210,0,0,600,750,161,2,600,150,450,300,60,240
127,23,DehraDun,Student,No,Male,Post graduation,DED,Android,Uttarakhand,Northern,30.324427,78.033922,540,70,0,0,550,0,420,5,300,60,900,300,10,240
128,58,Ranchi,Working professional,No,Male,Post graduation,IXR,iOs,Jharkhand,Eastern,23.347768,85.338564,674,25,943,631,312,244,3,0,434,15,182,62,10,240
129,28,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,480,40,580,300,280,60,300,4,240,30,30,30,10,240
131,51,Nagpur,Working professional,No,Female,Post graduation,NAG,Android,MAHARASHTRA,Western,21.1458004,79.0881546,840,0,0,0,360,0,0,0,600,0,900,120,0,240
132,26,Hyderabad,Working professional,No,Male,Graduation,HYD,Android,Telangana,Southern,17.384052,78.456355,540,0,735,375,360,195,199,0,300,0,75,120,0,240
133,28,Delhi,Student,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,429,87,790,0,0,843,376,238
134,19,Bengaluru,Student,Yes,Female,High School,BLR,Android,Karnataka,Southern,12.977063,77.587106,621,0,0,0,0,758,0,112,387,0,472,286,670,234
135,24,Surat,Working professional,Yes,Female,Graduation,STV,iOs,Gujarat,Western,21.195944,72.830232,690,916,0,0,535,514,0,245,459,670,456,58,246,231
136,59,Mumbai,Sabbatical,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,778,0,0,775,337,334,59,0,548,0,227,107,0,230
137,56,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,0,101,0,0,437,0,378,4,0,75,853,186,26,225
138,45,Chandigarh,Sabbatical,No,Female,Graduation,IXC,Android,Chandigarh,Northern,30.736292,76.788398,670,675,0,0,895,0,346,15,450,460,715,460,215,220
139,27,Kolkata,Working professional,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,520,350,0,900,670,700,500,85,300,200,400,300,150,220
140,45,Delhi,Sabbatical,No,Female,High School,DEL,Android,Delhi,Northern,28.651952,77.231495,690,0,850,590,260,160,0,0,470,0,120,40,0,220
141,55,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,970,0,0,0,429,619,0,0,753,0,407,212,0,217
143,25,Mumbai,Student,No,Female,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,643,888,0,0,755,0,370,211,432,567,887,223,321,211
145,14,Kolkata,Student,No,Male,High School,CCU,Android,West Bengal,Eastern,22.562627,88.363044,560,250,0,650,510,350,100,5,350,100,200,150,150,210
146,32,Kolkata,Working professional,No,Male,Post graduation,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,564,193,0,0,715,0,321,17,354,120,0,432,73,210
147,33,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,610,0,0,950,390,730,0,0,400,0,550,180,0,210
148,22,Lucknow,Student,Yes,Male,Graduation,LKO,Android,Uttar Pradesh,Northern,26.839281,80.923133,755,0,0,0,763,0,354,44,548,759,873,246,310,207
149,23,Bagdogra,Student,No,Male,Post graduation,IXB,Android,West Bengal,Eastern,26.6986,88.3117,0,97,0,0,571,0,138,66,843,65,0,335,32,204
150,24,Bagdogra,Working professional,No,Male,Graduation,IXB,Android,West Bengal,Eastern,26.6986,88.3117,492,643,0,0,653,684,451,126,289,456,421,263,187,203
151,22,Mumbai,Student,Yes,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,620,0,0,0,0,0,0,80,420,0,0,0,0,200
153,21,Ahmedabad,Student,No,Female,Graduation,AMD,iOs,Gujarat,Western,23.025793,72.587265,700,0,0,0,0,0,0,63,500,0,0,500,600,200
154,24,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,700,0,0,0,750,0,0,162,500,800,0,150,400,200
155,24,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,620,0,0,0,660,240,250,25,420,900,180,60,400,200
156,26,Ahmedabad,Sabbatical,No,Female,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,200,550,0,510,600,360,200,25,0,150,360,0,400,200
158,25,Ahmedabad,Working professional,No,Female,Graduation,AMD,iOs,Gujarat,Western,23.025793,72.587265,600,0,0,0,0,0,0,96,400,0,0,500,350,200
159,26,Ahmedabad,Working professional,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,600,0,0,0,0,0,0,349,400,800,0,600,300,200
160,25,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,700,0,0,0,0,0,0,69,500,0,0,500,300,200
161,22,Ahmedabad,Working professional,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,700,0,0,0,900,0,0,148,500,0,0,400,300,200
162,25,Delhi,Student,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,500,800,0,0,850,0,400,100,300,500,700,350,300,200
163,22,Mumbai,Student,Yes,Female,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,500,540,0,0,560,720,600,65,300,300,600,120,240,200
164,47,Chandigarh,Sabbatical,No,Female,Graduation,IXC,iOs,Chandigarh,Northern,30.736292,76.788398,600,570,0,0,685,900,156,2,400,380,605,295,190,200
165,26,Delhi,Working professional,Yes,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,980,640,0,0,860,0,0,289,780,460,0,480,180,200
167,26,Delhi,Working professional,No,Female,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,250,570,995,625,370,175,316,38,50,450,125,50,120,200
168,30,Mumbai,Working professional,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,800,0,0,0,500,0,194,16,600,0,0,200,100,200
169,35,Kolkata,Working professional,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,600,0,0,0,500,0,367,46,400,0,0,200,100,200
170,65,Ahmedabad,Sabbatical,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,900,250,0,0,350,0,67,1,700,200,900,100,50,200
171,57,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,500,0,0,700,300,500,0,0,300,0,400,100,0,200
172,24,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,416,617,0,0,682,951,162,63,218,452,632,319,165,198
173,23,Kolkata,Student,Yes,Female,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,799,754,0,0,548,630,351,289,602,568,465,165,186,197
174,24,Baroda,Student,No,Male,Post graduation,BDQ,Android,Gujarat,Western,22.3072,73.1812,679,640,0,0,637,945,287,58,483,446,698,247,194,196
175,21,Kolkata,Student,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,574,859,0,0,0,0,254,293,381,529,0,0,330,193
176,28,Mumbai,Working professional,No,Female,Post graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,712,919,0,0,959,0,0,80,520,614,0,462,305,192
177,37,Pune,Working professional,No,Female,Post graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,554,250,0,0,559,0,183,117,362,168,752,285,82,192
178,55,Mumbai,Sabbatical,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,474,60,965,654,311,431,88,3,282,57,315,116,3,192
179,24,Delhi,Student,No,Male,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,639,103,0,973,399,630,255,51,448,72,453,177,31,191
180,25,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,430,380,0,0,590,0,400,2,240,180,0,200,200,190
